Year,Student ID,Zipcode,Site,Grade ,Tutoring hours,Math questions answered,Math skills practiced,Math skills proficient,Math skills mastered,Starting diagnostic level - Math,Current diagnostic level - Math,Diagnostic growth - Math,ELA questions answered,ELA skills practiced,ELA skills proficient,ELA skills mastered,Starting diagnostic level - Overall ELA,Current diagnostic level - Overall ELA,Diagnostic growth - ELA,,,,,,,,,,,,,,,,
2022,1,90255,Huntington Park,7,18,1,1,8,7,330,370,40,225,3,2,2,460,470,10,,,,,,,,,,,,,,,,
2022,2,90255,Huntington Park,7,5,248,11,8,7,460,263,22,334,11,8,7,470,258,50,,,,,,,,,,,,,,,,
2022,3,90255,Huntington Park,7,16,128,8,1,7,340,410,70,79,5,2,7,320,420,100,,,,,,,,,,,,,,,,
2022,4,90255,Huntington Park,3,14,148,8,5,4,242,263,22,119,8,2,2,310,258,50,,,,,,,,,,,,,,,,
2022,5,90255,Huntington Park,8,15,139,6,5,7,490,480,-10,544,11,3,3,390,610,220,,,,,,,,,,,,,,,,
2022,6,90255,Huntington Park,9,17,241,10,6,3,242,263,22,442,16,3,7,390,370,-20,,,,,,,,,,,,,,,,
2022,7,90255,Huntington Park,8,17,197,8,4,1,300,263,22,421,12,3,7,480,470,-10,,,,,,,,,,,,,,,,
2022,8,90255,Huntington Park,9,4,248,11,8,7,242,263,22,334,11,8,7,410,258,50,,,,,,,,,,,,,,,,
2022,9,90255,Huntington Park,3,12,87,5,2,7,242,263,22,164,8,5,4,223,258,50,,,,,,,,,,,,,,,,
2022,10,90255,Huntington Park,9,18,323,12,5,2,380,370,-10,637,14,9,6,560,670,110,,,,,,,,,,,,,,,,
2022,11,90255,Huntington Park,3,2,248,11,8,7,242,263,22,334,11,8,7,50,60,10,,,,,,,,,,,,,,,,
2022,12,90255,Huntington Park,8,16,255,8,4,3,170,230,60,735,15,3,1,250,250,50,,,,,,,,,,,,,,,,
2022,13,90255,Huntington Park,3,15,188,9,7,5,242,263,22,282,10,8,8,120,170,50,,,,,,,,,,,,,,,,
2022,14,90255,Huntington Park,5,17,131,9,3,3,320,270,-50,231,7,2,2,130,160,30,,,,,,,,,,,,,,,,
2022,15,90255,Huntington Park,3,18,456,22,18,17,350,340,-10,542,21,19,18,200,270,70,,,,,,,,,,,,,,,,
2022,16,90255,Huntington Park,5,16,138,10,1,1,130,130,22,643,10,4,2,100,160,60,,,,,,,,,,,,,,,,
2022,17,90255,Huntington Park,3,12,357,13,12,12,210,230,20,208,5,4,4,90,120,30,,,,,,,,,,,,,,,,
2022,18,90255,Huntington Park,4,8,339,16,14,14,340,340,22,151,7,6,5,340,258,50,,,,,,,,,,,,,,,,
2022,19,90255,Huntington Park,5,15,221,11,8,6,370,360,-10,205,8,4,2,300,370,70,,,,,,,,,,,,,,,,
2022,20,90255,Huntington Park,3,14,180,5,3,3,210,200,-10,318,7,6,6,160,190,30,,,,,,,,,,,,,,,,
2022,21,90255,Huntington Park,4,17,539,23,18,17,70,270,200,706,17,13,9,120,210,90,,,,,,,,,,,,,,,,
2022,22,90255,Huntington Park,3,14,198,9,7,6,240,220,-20,368,11,5,5,150,200,50,,,,,,,,,,,,,,,,
2022,23,90255,Huntington Park,3,17,155,9,6,5,250,263,22,441,12,10,8,200,240,40,,,,,,,,,,,,,,,,
2022,24,90255,Huntington Park,4,15,163,5,3,2,200,263,22,191,9,5,5,210,220,10,,,,,,,,,,,,,,,,
2022,25,90255,Huntington Park,4,5,42,2,2,2,240,263,22,115,5,4,3,180,258,50,,,,,,,,,,,,,,,,
2022,26,90255,Huntington Park,4,18,304,12,10,10,170,290,120,284,11,7,7,190,200,10,,,,,,,,,,,,,,,,
2022,27,90255,Huntington Park,3,15,186,8,7,5,310,340,30,217,10,9,9,170,280,110,,,,,,,,,,,,,,,,
2022,28,90255,Huntington Park,5,18,205,10,7,4,290,330,40,410,15,14,13,250,320,70,,,,,,,,,,,,,,,,
2022,29,90255,Huntington Park,3,18,138,8,5,4,240,260,20,169,7,5,5,160,220,60,,,,,,,,,,,,,,,,
2022,30,90255,Huntington Park,K,19,667,26,23,22,80,90,10,707,28,27,27,60,80,20,,,,,,,,,,,,,,,,
2022,31,90255,Huntington Park,2,19,727,26,26,23,300,310,10,578,20,20,20,310,340,30,,,,,,,,,,,,,,,,
2022,32,90255,Huntington Park,3,7,58,2,2,2,250,263,22,89,4,4,4,120,258,50,,,,,,,,,,,,,,,,
2022,33,90255,Huntington Park,2,15,179,8,8,6,310,300,-10,229,8,7,6,260,280,20,,,,,,,,,,,,,,,,
2022,34,90255,Huntington Park,3,16,329,13,13,13,290,340,50,332,11,10,10,330,320,-10,,,,,,,,,,,,,,,,
2022,35,90255,Huntington Park, K,16,865,41,41,40,80,90,10,829,38,35,35,223,70,70,,,,,,,,,,,,,,,,
2022,36,90255,Huntington Park, K,20,425,14,13,11,80,70,-10,333,18,16,15,70,70,0,,,,,,,,,,,,,,,,
2022,37,90255,Huntington Park,2,14,261,11,10,10,260,280,20,452,14,13,13,280,310,30,,,,,,,,,,,,,,,,
2022,38,90255,Huntington Park,2,17,227,7,5,3,210,230,20,166,5,3,3,130,200,70,,,,,,,,,,,,,,,,
2022,39,90255,Huntington Park, K,17,360,16,14,12,20,50,30,455,26,23,23,223,60,60,,,,,,,,,,,,,,,,
2022,40,90255,Huntington Park,2,16,258,11,10,10,170,180,10,318,12,10,9,80,160,80,,,,,,,,,,,,,,,,
2022,41,90255,Huntington Park,1,17,344,15,11,11,240,260,20,354,13,13,11,100,220,120,,,,,,,,,,,,,,,,
2022,42,90255,Huntington Park, K,14,142,9,9,9,100,100,39,230,13,12,12,90,110,20,,,,,,,,,,,,,,,,
2022,43,90255,Huntington Park, K,8,172,11,7,6,110,100,-10,74,3,3,3,80,90,10,,,,,,,,,,,,,,,,
2022,44,90255,Huntington Park, K,11,169,9,9,9,80,90,10,230,11,10,10,218,271,45,,,,,,,,,,,,,,,,
2022,45,90255,Huntington Park,1,16,303,14,13,12,100,130,30,309,12,11,10,70,90,20,,,,,,,,,,,,,,,,
2022,46,90255,Huntington Park,1,18,247,12,12,10,90,180,90,365,15,14,11,130,220,90,,,,,,,,,,,,,,,,
2022,47,90255,Huntington Park,1,15,217,10,10,9,170,210,40,285,11,10,10,150,250,100,,,,,,,,,,,,,,,,
2022,48,90280,South Gate,1,17,316,15,13,12,170,180,10,330,13,10,5,120,170,50,,,,,,,,,,,,,,,,
2022,49,90280,South Gate,1,16,321,14,12,10,170,170,39,361,12,12,10,110,130,20,,,,,,,,,,,,,,,,
2022,50,90280,South Gate,1,12,187,9,7,6,150,150,39,304,9,8,5,130,100,-30,,,,,,,,,,,,,,,,
2022,51,90280,South Gate,1,13,157,9,7,7,160,180,20,170,6,6,5,90,150,60,,,,,,,,,,,,,,,,
2022,52,90280,South Gate,1,17,192,8,6,4,100,150,50,198,6,6,5,120,160,40,,,,,,,,,,,,,,,,
2022,53,90280,South Gate,1,18,332,18,14,13,160,170,10,377,14,14,11,120,120,45,,,,,,,,,,,,,,,,
2022,54,90280,South Gate,1,18,325,19,14,14,130,150,20,394,13,11,9,90,110,20,,,,,,,,,,,,,,,,
2022,55,90280,South Gate,1,14,129,7,6,6,190,210,20,176,7,6,4,80,100,20,,,,,,,,,,,,,,,,
2022,56,90280,South Gate,1,18,304,15,13,11,230,272,39,229,10,8,5,110,110,45,,,,,,,,,,,,,,,,
2022,57,90255,Huntington Park,2,18,352,13,13,10,180,230,50,366,12,11,9,80,240,160,,,,,,,,,,,,,,,,
2022,58,90255,Huntington Park,2,11,210,10,8,7,240,260,20,397,9,9,9,270,260,-10,,,,,,,,,,,,,,,,
2022,59,90255,Huntington Park,2,7,322,12,12,12,290,300,10,271,8,7,7,190,210,20,,,,,,,,,,,,,,,,
2022,60,90255,Huntington Park,2,16,365,13,12,12,220,220,39,337,13,12,10,120,160,40,,,,,,,,,,,,,,,,
2022,61,90255,Huntington Park,2,18,407,14,13,12,170,220,50,391,13,13,10,70,271,45,,,,,,,,,,,,,,,,
2022,62,90255,Huntington Park,2,17,395,12,12,12,210,220,10,306,14,10,10,110,130,20,,,,,,,,,,,,,,,,
2022,63,90280,South Gate,2,16,243,9,6,6,220,240,20,283,9,8,8,190,200,10,,,,,,,,,,,,,,,,
2022,64,90280,South Gate,2,18,135,7,4,3,230,272,39,200,6,5,4,220,220,45,,,,,,,,,,,,,,,,
2022,65,90280,South Gate,2,17,234,9,6,5,240,240,39,121,6,3,2,200,210,10,,,,,,,,,,,,,,,,
2022,66,90280,South Gate,2,5,10,2,8,7,230,272,39,35,2,1,6,218,271,45,,,,,,,,,,,,,,,,
2022,67,90280,South Gate,2,10,88,6,8,7,210,210,39,155,8,2,1,90,90,45,,,,,,,,,,,,,,,,
2022,68,90255,Huntington Park,3,14,399,15,14,10,230,280,50,583,16,16,11,220,260,40,,,,,,,,,,,,,,,,
2022,69,90255,Huntington Park,3,19,304,14,13,9,300,380,80,393,13,13,7,380,450,70,,,,,,,,,,,,,,,,
2022,70,90255,Huntington Park,3,14,216,9,7,5,240,300,60,557,14,12,11,140,180,40,,,,,,,,,,,,,,,,
2022,71,90280,South Gate,3,15,57,4,2,2,300,320,20,286,9,6,6,240,290,50,,,,,,,,,,,,,,,,
2022,72,90280,South Gate,3,15,154,10,5,5,380,390,10,276,11,9,9,490,490,45,,,,,,,,,,,,,,,,
2022,73,90280,South Gate,3,17,457,11,7,7,10,120,110,465,9,9,8,70,100,30,,,,,,,,,,,,,,,,
2022,74,90280,South Gate,3,16,137,4,1,7,140,160,20,289,9,3,3,80,110,30,,,,,,,,,,,,,,,,
2022,75,90255,Huntington Park,4,18,260,9,8,7,90,272,39,363,5,4,2,180,220,40,,,,,,,,,,,,,,,,
2022,76,90255,Huntington Park,4,17,264,7,6,6,280,320,40,534,9,5,4,190,210,20,,,,,,,,,,,,,,,,
2022,77,90255,Huntington Park,4,19,304,12,11,11,440,430,-10,514,13,13,10,650,620,-30,,,,,,,,,,,,,,,,
2022,78,90255,Huntington Park,4,19,359,13,13,12,70,220,150,465,11,11,7,120,210,90,,,,,,,,,,,,,,,,
2022,79,90255,Huntington Park,4,18,246,11,9,8,320,380,60,362,13,11,10,240,280,40,,,,,,,,,,,,,,,,
2022,80,90255,Huntington Park,4,18,472,13,10,8,340,360,20,590,12,11,7,210,270,60,,,,,,,,,,,,,,,,
2022,81,90280,South Gate,4,13,79,6,3,1,190,230,40,300,9,8,6,220,250,30,,,,,,,,,,,,,,,,
2022,82,90280,South Gate,4,17,56,4,1,1,380,380,39,162,7,6,6,350,380,30,,,,,,,,,,,,,,,,
2022,83,90280,South Gate,4,15,91,6,2,1,580,580,39,34,2,2,6,560,570,10,,,,,,,,,,,,,,,,
2022,84,90280,South Gate,5,15,78,3,3,2,310,340,30,300,0,8,6,390,400,10,,,,,,,,,,,,,,,,
2022,85,90280,South Gate,5,16,52,4,2,7,230,272,39,108,7,3,1,620,620,45,,,,,,,,,,,,,,,,
2022,86,90280,South Gate,5,17,98,9,3,2,370,370,39,86,4,0,6,430,480,50,,,,,,,,,,,,,,,,
2022,87,90255,Huntington Park,7,18,326,13,11,6,430,510,80,313,10,8,5,340,490,150,,,,,,,,,,,,,,,,
2022,88,90255,Huntington Park,8,19,422,10,9,8,380,510,130,730,10,8,7,560,670,110,,,,,,,,,,,,,,,,
2022,89,90255,Huntington Park,8,3,106,5,2,2,230,272,39,70,2,2,2,218,271,45,,,,,,,,,,,,,,,,
2022,90,90255,Huntington Park,8,19,366,12,10,6,340,530,190,538,12,12,8,370,680,310,,,,,,,,,,,,,,,,
2022,91,90255,Huntington Park,8,18,238,8,6,1,380,530,150,397,10,10,8,370,600,230,,,,,,,,,,,,,,,,
,,,,,20,865,41,41,40,580,580,200,829,38,35,35,650,680,310,,,,,,,,,,,,,,,,
